,Titulo,Precio,Imagen
0,Zte Blade A55 Dual Sim 128gb 4gb Ram,500.000,https://http2.mlstatic.com/D_Q_NP_2X_724202-MCO83153296147_032025-V.webp
1,Zte Blade A35e Dual Sim 64gb 2gb Ram,499.000,https://http2.mlstatic.com/D_Q_NP_2X_939552-MCO83649111115_042025-V.webp
2,Xiaomi Poco X7 Pro 5g 512gb Verde 12ram 50mpx,2.114.143,https://http2.mlstatic.com/D_Q_NP_2X_823732-MLA81806997422_012025-V.webp
3,"Xiaomi Redmi Note 14 4g 6,67 256gb 8gb Ram Cámara 108mpx - Verde",819.900,https://http2.mlstatic.com/D_Q_NP_2X_704159-MLA82609601731_022025-V.webp
4,Xiaomi Redmi 14c 128gb 4gb de RAM Dual Sim Sage Green,439.900,https://http2.mlstatic.com/D_Q_NP_2X_631376-MLA83786886846_042025-V.webp
5,Xiaomi Poco X7 5g Dual Sim 512gb Negro 12ram 50mpx,1.529.900,https://http2.mlstatic.com/D_Q_NP_2X_908795-MLA81804825730_012025-V.webp
6,Samsung Galaxy S25 Ultra 256gb Titanium Black,6.279.900,https://http2.mlstatic.com/D_Q_NP_2X_980770-MLA83184812626_042025-V.webp
7,Samsung Galaxy A56 5g 256 GB 8 GB RAM rosa,2.399.900,https://http2.mlstatic.com/D_Q_NP_2X_746900-MLA83060332295_032025-V.webp
8,Samsung Galaxy A05 Dual SIM 128 GB negro 4 GB RAM,349.900,https://http2.mlstatic.com/D_Q_NP_2X_823381-MLA73953581906_012024-V.webp
9,"Celular Xiaomi Redmi 14c 4GB 256GB LCD 6.88"" 50MP 13MP Azul Astral",638.900,https://http2.mlstatic.com/D_Q_NP_2X_939242-MLA83786461800_042025-V.webp
10,Apple iPhone 15 128 GB Negro,3.064.642,https://http2.mlstatic.com/D_Q_NP_2X_779617-MLA71782867320_092023-V.webp
11,"Celular infinix note 50s 5g pantalla 3D curvada ultra delgada 256gb rom 8gb ram gris 6.78"" 144Hz amoled 5200mah carga rápida 45w",1.399.900,https://http2.mlstatic.com/D_Q_NP_2X_827313-MLA85451875198_062025-V.webp
12,Samsung Galaxy S24 Fe 256gb 8gb 5g Blue,3.599.900,https://http2.mlstatic.com/D_Q_NP_2X_785068-MLA79739352176_102024-V.webp
